신청번호,성명,부서,팀,직급,참석구분,신청일,비고
A-018,김가람,교육청소년과,청소년팀,주무관,참석,2026-05-10,
A-003,이도윤,총무과,인사팀,주무관,참석,2026-05-09,
A-011,박하늘,기획예산실,예산팀,팀장,참석,2026-05-08,
A-006,최서연,회계과,계약팀,주무관,불참,2026-05-11,출장
A-015,정지후,홍보소통실,홍보팀,주무관,참석,2026-05-10,
A-021,한유진,교육청소년과,교육지원팀,팀장,참석,2026-05-12,
A-008,오민재,민원지적과,민원팀,주무관,참석,2026-05-09,
A-002,문서윤,총무과,총무팀,팀장,참석,2026-05-08,
A-001,강지안,기획예산실,기획팀,주무관,참석,2026-05-08,
A-012,서하준,회계과,경리팀,팀장,참석,2026-05-10,
A-016,윤다은,정보통신과,정보기획팀,주무관,참석,2026-05-11,
A-019,조은우,감사실,감사팀,주무관,참석,2026-05-12,
A-004,백지율,문화예술과,문화팀,주무관,참석,2026-05-09,
A-010,남도현,도시과,도시계획팀,팀장,참석,2026-05-10,
A-014,류서진,교육청소년과,교육지원팀,주무관,참석,2026-05-11,
A-020,신우빈,정보통신과,데이터팀,팀장,참석,2026-05-12,
A-005,하유나,민원지적과,지적팀,팀장,참석,2026-05-09,
A-017,임서준,홍보소통실,소통팀,팀장,참석,2026-05-11,
A-013,고예린,감사실,청렴팀,팀장,불참,2026-05-10,교육중복
A-009,차민호,총무과,총무팀,주무관,참석,2026-05-09,
A-022,노아린,AI전략담당관,AI기획팀,주무관,참석,2026-05-12,기준표에 없는 부서
A-007,마지우,문화예술과,예술팀,팀장,참석,2026-05-09,
A-023,유태오,도시과,도시재생팀,주무관,참석,2026-05-12,
A-024,전하린,기획예산실,기획팀,팀장,참석,2026-05-13,
